ticker,symbol,base_symbol
ETHBTC,ETH,BTC
LTCBTC,LTC,BTC
BNBBTC,BNB,BTC
NEOBTC,NEO,BTC
BCCBTC,BCC,BTC
GASBTC,GAS,BTC
HSRBTC,HSR,BTC
MCOBTC,MCO,BTC
WTCBTC,WTC,BTC
LRCBTC,LRC,BTC
QTUMBTC,QTUM,BTC
YOYOBTC,YOYO,BTC
OMGBTC,OMG,BTC
ZRXBTC,ZRX,BTC
STRATBTC,STRAT,BTC
SNGLSBTC,SNGLS,BTC
BQXBTC,BQX,BTC
KNCBTC,KNC,BTC
FUNBTC,FUN,BTC
SNMBTC,SNM,BTC
IOTABTC,IOTA,BTC
LINKBTC,LINK,BTC
XVGBTC,XVG,BTC
SALTBTC,SALT,BTC
MDABTC,MDA,BTC
MTLBTC,MTL,BTC
SUBBTC,SUB,BTC
EOSBTC,EOS,BTC
SNTBTC,SNT,BTC
ETCBTC,ETC,BTC
MTHBTC,MTH,BTC
ENGBTC,ENG,BTC
DNTBTC,DNT,BTC
ZECBTC,ZEC,BTC
BNTBTC,BNT,BTC
ASTBTC,AST,BTC
DASHBTC,DASH,BTC
OAXBTC,OAX,BTC
ICNBTC,ICN,BTC
BTGBTC,BTG,BTC
EVXBTC,EVX,BTC
REQBTC,REQ,BTC
VIBBTC,VIB,BTC
TRXBTC,TRX,BTC
POWRBTC,POWR,BTC
ARKBTC,ARK,BTC
XRPBTC,XRP,BTC
MODBTC,MOD,BTC
ENJBTC,ENJ,BTC
STORJBTC,STORJ,BTC
VENBTC,VEN,BTC
KMDBTC,KMD,BTC
RCNBTC,RCN,BTC
NULSBTC,NULS,BTC
RDNBTC,RDN,BTC
XMRBTC,XMR,BTC
DLTBTC,DLT,BTC
AMBBTC,AMB,BTC
BATBTC,BAT,BTC
BCPTBTC,BCPT,BTC
ARNBTC,ARN,BTC
GVTBTC,GVT,BTC
CDTBTC,CDT,BTC
GXSBTC,GXS,BTC
POEBTC,POE,BTC
QSPBTC,QSP,BTC
BTSBTC,BTS,BTC
XZCBTC,XZC,BTC
LSKBTC,LSK,BTC
TNTBTC,TNT,BTC
FUELBTC,FUEL,BTC
